"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-07",,"64","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-08",,"64","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-09",,"73","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-10",,"64","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-11",,"62","49",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-12",,"61","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-13",,"67","42",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-14",,"72","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-15",,"63","49",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-16",,"56","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-17",,"63","39",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-18",,"58","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-19",,"65","42",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-20",,"67","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-21",,"73","46",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-22",,"77","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-23",,"74","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-24",,"62","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-25",,"63","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-26",,"61","51",
